,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG,총밝기
1761,11680,1246,1,4166038,강남대로96길,37.50029875961016,127.02784333591556,840
1762,11680,1247,0,4166039,강남대로98길,37.50075119504085,127.02772648070405,560
1763,11680,1247,1,4166039,강남대로98길,37.50032545508326,127.0279290782046,840
1764,11680,1248,0,4166357,봉은사로4길,37.502759945396015,127.02685328035038,1850
1765,11680,1248,1,4166357,봉은사로4길,37.50293833063015,127.02745034796949,560
1766,11680,1259,0,4166559,언주로103길,37.506115950416884,127.03737947702038,840
1767,11680,1259,1,4166559,언주로103길,37.506545076382686,127.03717523400258,1920
1768,11680,1259,2,4166559,언주로103길,37.50659653753696,127.03733681989873,1920
1769,11680,1271,0,4166749,테헤란로5길,37.49945465560721,127.02950398387917,280
1770,11680,1271,1,4166749,테헤란로5길,37.49981295459603,127.03066404290027,280
1771,11680,1272,0,4166641,역삼로25길,37.49742094103289,127.03961168394798,0
1772,11680,1272,1,4166641,역삼로25길,37.497570174714994,127.0401076941722,0
1773,11680,1272,2,4166641,역삼로25길,37.49771640027663,127.04059371937413,240
1774,11680,1272,3,4166641,역삼로25길,37.497717246272956,127.0405965695634,240
1775,11680,1273,0,4166644,역삼로33길,37.49761932978079,127.0417652192102,210
1776,11680,1273,1,4166644,역삼로33길,37.497924423374336,127.04240284629505,0
1777,11680,1273,2,4166644,역삼로33길,37.498180889132115,127.04220452026549,0
1778,11680,1274,0,4166186,논현로65길,37.492973167863475,127.03812451718169,1080
1779,11680,1274,1,4166186,논현로65길,37.493366269404476,127.03793551706814,560
1780,11680,1274,2,4166186,논현로65길,37.4932953946626,127.0377077876065,840
1781,11680,1284,0,4166005,강남대로110길,37.503814200395716,127.02661426087141,1360
1782,11680,1284,1,4166005,강남대로110길,37.504089437608116,127.0264852778263,560
1783,11680,1285,0,4166004,강남대로106길,37.503112190988325,127.02706103885036,1050
1784,11680,1285,1,4166004,강남대로106길,37.50355833871284,127.02684982933914,1050
1785,11680,1286,0,4166337,봉은사로18길,37.503471658961786,127.02904130044963,840
1786,11680,1286,1,4166337,봉은사로18길,37.503212832910975,127.02948584402706,840
1787,11680,1287,0,4166637,역삼로19길,37.49580097152735,127.03700752407342,280
1788,11680,1287,1,4166637,역삼로19길,37.49589198699333,127.03665749763077,840
1789,11680,1288,0,4166637,역삼로19길,37.495494498430155,127.03688117964272,280
1790,11680,1288,1,4166637,역삼로19길,37.49558399218643,127.0365569930127,560
1791,11680,1289,0,4166633,역삼로14길,37.4938922999016,127.0354860862432,1290
